GEOID,year,in100,msaid15,msaname15,countyfips,statefips,stateusps,pop,ED_APENR,ED_ATTAIN,ED_COLLEGE,ED_ECENROL,ED_HSGRAD,ED_MATH,ED_READING,ED_SCHPOV,ED_TEACHXP,ED_PRXECE,ED_PRXHQECE,HE_FOOD,HE_GREEN,HE_HEAT,HE_HLTHINS,HE_OZONE,HE_PM25,HE_VACANCY,HE_WALK,HE_SUPRFND,HE_RSEI,SE_POVRATE,SE_PUBLIC,SE_HOME,SE_OCC,SE_MHE,SE_EMPRAT,SE_JOBPROX,SE_SINGLE
36001000502,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,259,0.40662667,48.244823,64.378075,31.799999,66.022362,218.52089,203.35081,68.570335,18.510572,4.2865872,1.0986123,0.0,44.799999,3.3333333,90.575172,37.60006,8.0588961,15.661375,14.779927,-0.022599841,6.6615777,24.527151,5.2697616,34.127979,31.911654,42506.0,74.938873,5.5288458,70.434784
36001000502,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,308,0.4792043,58.792187,62.539551,78.300003,67.195335,141.92972,121.08038,45.924278,14.827208,3.951566,1.0986123,0.35422736,44.799999,1.6666666,95.67865,35.537884,8.7284594,7.6011844,14.779927,-13.815511,5.861424,24.438356,5.5555558,34.294872,41.890316,48409.0,89.185905,0.31407034,48.739494
36001000600,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,776,0.39006686,22.044918,63.714619,62.099998,68.454575,203.09834,176.90656,88.870102,15.65505,4.2224894,1.0986123,1.7650114,74.099998,3.3333333,83.904938,37.662941,8.0658007,21.936275,17.792347,-4.178226,6.8241167,49.93515,35.400314,11.616954,15.753424,20576.0,65.240639,0.51413882,69.0411
36001000600,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,972,0.46675843,11.844978,61.009445,54.400002,69.276283,128.54147,98.085892,56.520241,10.515255,3.9223399,1.3120881,48.460571,74.099998,1.6666666,87.067543,35.570183,8.7206278,22.296543,17.792347,-13.815511,5.928443,47.954304,46.700142,9.3256817,17.241379,26078.0,70.191628,2.4676125,57.255936
36001000700,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,1370,0.38738754,12.084592,62.499798,46.400002,68.652031,185.39272,169.81732,85.553314,21.813906,4.2097096,1.1977477,28.375648,44.700001,3.3333333,78.756058,37.69051,8.0751791,30.447193,12.884979,-13.815511,6.9407015,34.431793,27.770176,33.036934,22.157623,33497.0,74.289246,4.3841338,74.961121
36001000700,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,1012,0.46839669,9.4501715,59.577579,100.0,70.017784,106.87359,72.121819,68.135216,16.808521,3.9210007,1.3862944,36.964882,44.700001,1.6666666,86.872589,35.561695,8.733243,27.286064,12.884979,-13.815511,6.0170898,32.485111,37.525356,32.454361,18.742516,29955.0,73.161537,0.87829363,69.421486
36001000800,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,485,0.38575077,14.153131,62.76376,33.900002,68.997688,188.23354,174.66805,87.168976,14.976958,4.1884503,1.0986123,52.854233,74.099998,3.3333333,81.253731,37.705627,8.0728989,35.96899,17.096546,-13.815511,6.9719052,46.320347,45.409428,11.662531,16.077169,25775.0,56.886227,1.3722128,72.560974
36001000800,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,745,0.46253002,14.45783,59.400146,100.0,69.525215,105.69186,68.960915,61.171211,9.6666193,3.9120231,1.3862944,51.715401,74.099998,1.6666666,88.540031,35.594467,8.7240419,31.690676,17.096546,-13.815511,6.0054288,56.201015,50.055492,13.318536,26.719999,17044.0,57.657658,0.0,84.615387
36001001100,2010,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,57,0.37112558,24.084778,59.712788,,73.168587,180.1868,169.46725,85.020737,14.575111,4.1626563,1.153528,64.09156,65.900002,3.3333333,81.323372,37.761909,8.0882587,21.445498,16.167,-13.815511,7.1837568,45.590828,52.036201,5.2790346,29.850746,12967.0,38.985737,15.878378,100.0
36001001100,2015,1.0,10580.0,"Albany-Schenectady-Troy, NY Metro Area",36001,36,NY,120,0.44192028,28.093645,55.398731,0.0,69.453278,81.998055,81.780495,75.491127,11.452568,3.8833911,1.3862944,58.017559,65.900002,1.6666666,81.069237,35.649258,8.7040253,17.256638,16.167,-13.815511,6.1216788,39.344261,47.459896,10.695187,37.543251,23036.0,54.204201,0.0,20.0
